city,dominant_race,mean_score,city_mean,parity_gap
Atlanta,Black,5.345505617977528,4.78875,0.5567556179775277
Atlanta,Hispanic,5.1875,4.78875,0.3987499999999997
Atlanta,White,4.3329326923076925,4.78875,-0.45581730769230777
Atlanta,Asian,4.2,4.78875,-0.5887500000000001
Baltimore,Black,5.560218978102189,5.293560606060606,0.26665837204158294
Baltimore,White,4.694672131147541,5.293560606060606,-0.5988884749130658
Chicago,Black,5.357456140350878,4.551484523057486,0.805971617293392
Chicago,Hispanic,4.700374531835206,4.551484523057486,0.14889000877772052
Chicago,White,4.07810650887574,4.551484523057486,-0.47337801418174585
Chicago,Asian,4.066666666666666,4.551484523057486,-0.4848178563908192
Cleveland,Black,5.7417763157894735,4.975,0.7667763157894738
Cleveland,Hispanic,5.5,4.975,0.5250000000000004
Cleveland,White,4.488729508196721,4.975,-0.4862704918032783
Dallas,Black,5.125,4.755012531328321,0.3699874686716793
Dallas,Hispanic,4.841216216216216,4.755012531328321,0.0862036848878951
Dallas,Asian,4.729166666666667,4.755012531328321,-0.025845864661653728
Dallas,White,4.541907514450867,4.755012531328321,-0.21310501687745376
Detroit,Black,5.8802721088435375,5.16474358974359,0.7155285190999479
Detroit,Hispanic,5.833333333333333,5.16474358974359,0.6685897435897434
Detroit,Asian,4.75,5.16474358974359,-0.4147435897435896
Detroit,White,4.443433029908973,5.16474358974359,-0.7213105598346168
Houston,Black,5.331632653061225,4.798862828713575,0.5327698243476497
Houston,Asian,5.238095238095238,4.798862828713575,0.4392324093816633
Houston,Hispanic,4.897478991596639,4.798862828713575,0.09861616288306418
Houston,White,4.509243697478992,4.798862828713575,-0.28961913123458327
Los Angeles,Black,5.232142857142857,4.5606060606060606,0.6715367965367962
Los Angeles,Hispanic,4.615702479338843,4.5606060606060606,0.05509641873278248
Los Angeles,White,4.465420560747663,4.5606060606060606,-0.0951854998583972
Los Angeles,Asian,4.362962962962963,4.5606060606060606,-0.1976430976430974
Memphis,Black,5.809720785935884,5.287679799874922,0.5220409860609623
Memphis,Asian,5.375,5.287679799874922,0.08732020012507835
Memphis,Hispanic,4.9375,5.287679799874922,-0.35017979987492165
Memphis,White,4.465460526315789,5.287679799874922,-0.8222192735591323
Milwaukee,Black,5.729477611940299,4.906716417910448,0.8227611940298507
Milwaukee,Asian,5.625,4.906716417910448,0.7182835820895521
Milwaukee,Hispanic,4.965277777777778,4.906716417910448,0.0585613598673298
Milwaukee,White,4.41195652173913,4.906716417910448,-0.49475989617131777
Minneapolis,Hispanic,5.0,4.230529595015576,0.7694704049844239
Minneapolis,Black,4.94375,4.230529595015576,0.7132204049844235
Minneapolis,Asian,4.625,4.230529595015576,0.3944704049844239
Minneapolis,White,4.141449683321604,4.230529595015576,-0.08907991169397178
New Orleans,Black,5.978982300884955,5.648611111111111,0.33037118977384416
New Orleans,White,5.0914179104477615,5.648611111111111,-0.5571932006633498
New York,Hispanic,4.945652173913044,4.768512756689484,0.17713941722356008
New York,Black,4.912280701754386,4.768512756689484,0.1437679450649023
New York,White,4.657738095238095,4.768512756689484,-0.11077466145138892
New York,Asian,4.482142857142857,4.768512756689484,-0.28636989954662706
Oakland,Black,4.677083333333333,4.386757425742574,0.29032590759075916
Oakland,Hispanic,4.5756578947368425,4.386757425742574,0.1889004689942686
Oakland,White,4.386363636363637,4.386757425742574,-0.0003937893789371927
Oakland,Asian,4.220703125,4.386757425742574,-0.16605430074257388
Philadelphia,Black,5.6911764705882355,5.08880550343965,0.6023709671485857
Philadelphia,Asian,5.466666666666667,5.08880550343965,0.377861163227017
Philadelphia,Hispanic,5.323529411764706,5.08880550343965,0.23472390832505585
Philadelphia,White,4.506510416666667,5.08880550343965,-0.5822950867729828
Phoenix,Hispanic,4.8173076923076925,4.60678391959799,0.21052377270970268
Phoenix,Black,4.75,4.60678391959799,0.14321608040201017
Phoenix,White,4.554245283018868,4.60678391959799,-0.052538636579122056
San Antonio,Black,6.375,4.856965174129353,1.5180348258706466
San Antonio,Hispanic,5.051282051282051,4.856965174129353,0.19431687715269774
San Antonio,White,4.5647590361445785,4.856965174129353,-0.2922061379847749
San Diego,Hispanic,4.644607843137255,4.43125,0.21335784313725448
San Diego,White,4.369604316546763,4.43125,-0.06164568345323751
San Diego,Asian,4.2,4.43125,-0.23125000000000018
San Jose,Hispanic,4.598130841121495,4.328378378378378,0.26975246274311715
San Jose,White,4.343580470162749,4.328378378378378,0.015202091784370708
San Jose,Asian,4.1716171617161715,4.328378378378378,-0.15676121666220677
St. Louis,Black,5.813455657492355,5.356948228882834,0.4565074286095214
St. Louis,White,4.99017199017199,5.356948228882834,-0.36677623871084375
