income_bucket,race_a,race_b,disparate_impact_ratio
high,Asian,Black,0.8505516549648947
high,Asian,Hispanic,0.7892137952318494
high,Asian,White,0.9521915379390005
high,Black,Asian,1.1757075471698113
high,Black,Hispanic,0.9278846153846154
high,Black,White,1.1194987775061125
high,Hispanic,Asian,1.267083781405807
high,Hispanic,Black,1.077720207253886
high,Hispanic,White,1.2065064545143596
high,White,Asian,1.050208870963588
high,White,Black,0.8932568932568933
high,White,Hispanic,0.8288393288393289
low,Asian,Black,0.6316795243824758
low,Asian,Hispanic,1.2198189134808852
low,Asian,White,0.9627766599597585
low,Black,Asian,1.583081232492997
low,Black,Hispanic,1.9310724289715886
low,Black,White,1.5241536614645856
low,Hispanic,Asian,0.8197938144329897
low,Hispanic,Black,0.5178469667927266
low,Hispanic,White,0.7892783505154639
low,White,Asian,1.038662486938349
low,White,Black,0.6561018257431358
low,White,Hispanic,1.2669801462904913
lower_middle,Asian,Black,0.4870624048706241
lower_middle,Asian,Hispanic,0.8112280701754386
lower_middle,Asian,White,0.8346703550023052
lower_middle,Black,Asian,2.053125
lower_middle,Black,Hispanic,1.6655526315789473
lower_middle,Black,White,1.7136825726141078
lower_middle,Hispanic,Asian,1.2326989619377162
lower_middle,Hispanic,Black,0.600401320882906
lower_middle,Hispanic,White,1.0288972801715268
lower_middle,White,Asian,1.1980777728678744
lower_middle,White,Black,0.5835386412750683
lower_middle,White,Hispanic,0.9719143196036932
middle,Asian,Black,0.6298068988281894
middle,Asian,Hispanic,1.0138331102186524
middle,Asian,White,1.1569757290029683
middle,Black,Asian,1.5877882599580715
middle,Black,Hispanic,1.6097523099619535
middle,Black,White,1.8370324795673443
middle,Hispanic,Asian,0.986355633802817
middle,Hispanic,Black,0.6212135828670654
middle,Hispanic,White,1.141189528475199
middle,White,Asian,0.8643223664352551
middle,White,Black,0.54435618919243
middle,White,Hispanic,0.8762786329946004
upper_middle,Asian,Black,0.9350306126943576
upper_middle,Asian,Hispanic,1.1270795470431987
upper_middle,Asian,White,1.2243005629680273
upper_middle,Black,Asian,1.0694837007725646
upper_middle,Black,Hispanic,1.205393205036826
upper_middle,Black,White,1.30936949694098
upper_middle,Hispanic,Asian,0.8872488216323493
upper_middle,Hispanic,Black,0.8296048093032423
upper_middle,Hispanic,White,1.086259231817204
upper_middle,White,Asian,0.8167928940388106
upper_middle,White,Black,0.7637263601575066
upper_middle,White,Hispanic,0.920590565041366
