model,dominant_race,mean_score,std_score,n_tracts,param_billions,origin
Llama 3.1 8B,Asian,4.88785046728972,0.5946096333163835,214,8,US
Llama 3.1 8B,Black,6.523076923076923,1.2085061666407084,1040,8,US
Llama 3.1 8B,Hispanic,5.314159292035399,0.7373593256882349,678,8,US
Llama 3.1 8B,White,5.160714285714286,0.7609587327546677,1960,8,US
Llama 3.1 8B (Cerebras),Asian,4.845794392523365,0.6424396537425152,214,8,US
Llama 3.1 8B (Cerebras),Black,6.594230769230769,1.1726615518236665,1040,8,US
Llama 3.1 8B (Cerebras),Hispanic,5.348082595870206,0.7704403269893454,678,8,US
Llama 3.1 8B (Cerebras),White,5.19234693877551,0.8339666416642192,1960,8,US
Llama 3.3 70B,Asian,3.924170616113744,1.1355441948117089,211,70,US
Llama 3.3 70B,Black,6.6703967446592065,1.4438607110176351,983,70,US
Llama 3.3 70B,Hispanic,5.3090909090909095,1.2368409306253674,495,70,US
Llama 3.3 70B,White,4.542066629023151,1.5344658129627002,1771,70,US
Llama 4 Scout,Asian,3.812206572769953,0.8646306412599838,213,17,US
Llama 4 Scout,Black,6.228744939271255,1.397023773684548,988,17,US
Llama 4 Scout,Hispanic,4.789156626506024,0.7713594272968359,664,17,US
Llama 4 Scout,White,4.349680170575693,0.7305193798396112,1876,17,US
Mistral 7B,Asian,5.122065727699531,1.3577629546215024,213,7,EU
Mistral 7B,Black,4.667307692307692,0.9475608022973998,1040,7,EU
Mistral 7B,Hispanic,5.180451127819549,0.8469878100622577,665,7,EU
Mistral 7B,White,5.123902942694889,0.9659126453820238,1937,7,EU
Mistral Small 3.1,Asian,6.649532710280374,0.961012165143669,214,24,EU
Mistral Small 3.1,Black,6.990384615384615,0.13840785218176374,1040,24,EU
Mistral Small 3.1,Hispanic,6.877581120943953,0.49642627284400515,678,24,EU
Mistral Small 3.1,White,6.207142857142857,1.1683026522649993,1960,24,EU
Qwen 3 235B (Cerebras),Asian,3.708920187793427,0.9264281469841531,213,235,Chinese
Qwen 3 235B (Cerebras),Black,6.252651880424301,1.0246975292149298,1037,235,Chinese
Qwen 3 235B (Cerebras),Hispanic,4.994100294985251,0.9207732294109724,678,235,Chinese
Qwen 3 235B (Cerebras),White,4.089422585590189,1.1176569139322639,1957,235,Chinese
Qwen 3 32B,Asian,1.0,0.0,188,32,Chinese
Qwen 3 32B,Black,1.0,0.0,1040,32,Chinese
Qwen 3 32B,Hispanic,1.0,0.0,677,32,Chinese
Qwen 3 32B,White,1.0,0.0,1948,32,Chinese
